set,train,validation,test
fold 1,0.98,0.98,0.67
fold 2,0.98,0.98,0.67
fold 3,0.98,0.98,0.68
fold 4,0.98,0.98,0.68
fold 5,0.98,0.98,0.66
ave.,0.98,0.98,0.67
