set,training,test
fold 1,0.765209707644406,0.735166645028565
fold 2,0.761052266163812,0.737128702511015
fold 3,0.750129604911965,0.733216168976638
fold 4,0.766644506867774,0.732619459837068
fold 5,0.765396295208036,0.729548535336792
ave.,0.76,0.73
